order_id,part_id,quantity_ordered,order_date,expected_delivery_date,supplier_id,status,actual_delivered_at
O5053,P325,71,2025-02-05,2025-02-21,SupB,delivered,2025-02-22
O5054,P319,135,2025-02-26,2025-03-22,SupC,delivered,2025-03-23
O5055,P317,312,2025-03-28,2025-04-09,SupA,delivered,2025-04-10
O5056,P333,156,2025-01-24,2025-02-06,SupC,delivered,2025-02-07
O5057,P306,316,2025-04-19,2025-04-28,SupA,ordered,
O5058,P330,78,2025-02-25,2025-03-16,SupA,delivered,2025-03-17
O5059,P318,53,2025-02-23,2025-03-07,SupC,delivered,2025-03-08
O5060,P311,115,2025-03-25,2025-03-31,SupA,delivered,2025-04-01
O5061,P300,130,2025-02-08,2025-02-22,SupB,delivered,2025-02-23
O5062,P310,84,2025-02-24,2025-03-19,SupC,delivered,2025-03-20
O5063,P322,25,2025-02-05,2025-02-18,SupC,delivered,2025-02-19
O5064,P307,318,2025-04-21,2025-05-08,SupA,ordered,
O5065,P316,115,2025-02-21,2025-03-01,SupA,delivered,2025-03-02
O5066,P314,145,2025-03-18,2025-03-27,SupC,delivered,2025-03-28
O5067,P303,94,2025-04-08,2025-04-28,SupC,ordered,
O5068,P334,88,2025-01-26,2025-02-01,SupA,delivered,2025-02-02
O5069,P331,86,2025-02-18,2025-03-04,SupA,delivered,2025-03-05
O5070,P333,123,2025-03-08,2025-03-17,SupB,delivered,2025-03-18
O5071,P318,113,2025-01-25,2025-02-06,SupC,delivered,2025-02-07
O5072,P321,169,2025-03-08,2025-03-31,SupA,delivered,2025-04-01
O5073,P325,40,2025-04-04,2025-04-27,SupC,ordered,
O5074,P332,160,2025-04-23,2025-05-15,SupA,ordered,
O5075,P331,77,2025-03-11,2025-04-03,SupC,delivered,2025-04-04
O5076,P320,105,2025-01-30,2025-02-20,SupC,delivered,2025-02-21
O5077,P328,164,2025-02-28,2025-03-14,SupA,delivered,2025-03-15
O5078,P325,40,2025-03-14,2025-04-06,SupC,delivered,2025-04-07
O5079,P330,96,2025-04-17,2025-05-06,SupA,ordered,
O5080,P308,102,2025-02-06,2025-02-22,SupB,delivered,2025-02-23
O5081,P334,123,2025-02-03,2025-02-09,SupA,delivered,2025-02-10
O5082,P313,35,2025-04-22,2025-05-14,SupB,ordered,
O5083,P335,213,2025-02-27,2025-03-06,SupB,delivered,2025-03-07
O5084,P314,65,2025-03-11,2025-04-03,SupB,delivered,2025-04-04
O5085,P302,279,2025-03-17,2025-03-27,SupA,delivered,2025-03-28
O5086,P317,156,2025-04-09,2025-04-21,SupA,delivered,2025-04-22
O5087,P316,257,2025-02-22,2025-03-02,SupA,delivered,2025-03-03
O5088,P301,33,2025-02-11,2025-03-08,SupB,delivered,2025-03-09
O5089,P330,40,2025-01-27,2025-02-08,SupB,delivered,2025-02-09
O5090,P324,81,2025-04-08,2025-04-18,SupA,delivered,2025-04-19
O5091,P323,263,2025-02-23,2025-03-07,SupB,delivered,2025-03-08
O5092,P309,237,2025-03-05,2025-03-29,SupB,delivered,2025-03-30
O5093,P302,275,2025-03-19,2025-03-29,SupA,delivered,2025-03-30
O5094,P309,213,2025-03-02,2025-03-26,SupB,delivered,2025-03-27
O5095,P303,107,2025-04-02,2025-04-07,SupB,delivered,2025-04-08
O5096,P305,212,2025-03-02,2025-03-11,SupA,delivered,2025-03-12
O5097,P314,77,2025-02-05,2025-02-28,SupB,delivered,2025-03-01
O5098,P333,59,2025-04-18,2025-04-26,SupA,ordered,
O5099,P331,114,2025-03-19,2025-04-11,SupC,delivered,2025-04-12
